Disease,Bat,Brain,Epi,Heart,Kidney,Liver,Lung,SKM,Spleen,SubQ
Cerebrovascular Disorders,8.89E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.34E-01,3.41E-01,1.00E+00,5.78E-01
Inflammatory Myofibroblastic Tumor,8.89E-01,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.80E-01,9.60E-01,1.00E+00,1.00E+00,1.00E+00
Hemolysis (disorder),8.89E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.60E-01,5.22E-01,8.28E-01,9.23E-01
Intravascular hemolysis,8.89E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.60E-01,5.22E-01,8.28E-01,9.23E-01
Extravascular Hemolysis,8.89E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.60E-01,5.22E-01,8.28E-01,9.23E-01
"Membranoproliferative Glomerulonephritis, Type I",8.89E-01,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.60E-01,1.00E+00,8.28E-01,1.00E+00
"Membranoproliferative Glomerulonephritis, Type II",8.89E-01,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.60E-01,1.00E+00,8.28E-01,1.00E+00
"Membranoproliferative Glomerulonephritis, Type III",8.89E-01,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.60E-01,1.00E+00,8.28E-01,1.00E+00
"Muscular Dystrophy, Duchenne",8.89E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.51E-01,1.00E+00,1.00E+00,9.23E-01
"MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE",8.89E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.23E-01
COWDEN-LIKE SYNDROME (disorder),8.89E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.60E-01,1.00E+00,1.00E+00,1.00E+00
Liver carcinoma,9.15E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.33E-01,5.20E-01,3.30E-01,7.19E-01,1.00E+00
Scleroatonic muscular dystrophy,1.00E+00,1.00E+00,2.59E-01,3.54E-02,1.00E+00,1.00E+00,2.19E-01,3.30E-01,1.00E+00,7.56E-01
Bethlem myopathy,1.00E+00,1.00E+00,2.59E-01,3.54E-02,1.00E+00,1.00E+00,2.19E-01,3.30E-01,1.00E+00,7.56E-01
"Liver Cirrhosis, Experimental",1.00E+00,1.00E+00,9.02E-01,2.99E-01,8.54E-01,1.00E+00,3.21E-01,1.00E+00,2.11E-01,5.65E-02
"Ataxias, Hereditary",1.00E+00,2.86E-03,2.59E-01,1.00E+00,7.81E-01,1.00E+00,1.00E+00,1.00E+00,7.19E-01,2.37E-01
Prostatic Neoplasms,1.00E+00,1.00E+00,1.89E-01,4.71E-01,1.00E+00,1.00E+00,2.19E-01,1.00E+00,1.84E-01,1.00E+00
Malignant neoplasm of prostate,1.00E+00,1.00E+00,1.89E-01,4.71E-01,1.00E+00,1.00E+00,2.19E-01,1.00E+00,1.84E-01,1.00E+00
Transient Ischemic Attack,1.00E+00,1.00E+00,3.79E-01,1.00E+00,8.54E-01,1.00E-01,1.00E+00,2.22E-02,1.00E+00,7.74E-01
Posterior Circulation Transient Ischemic Attack,1.00E+00,1.00E+00,3.79E-01,1.00E+00,8.54E-01,1.00E-01,1.00E+00,2.22E-02,1.00E+00,7.74E-01
Carotid Circulation Transient Ischemic Attack,1.00E+00,1.00E+00,3.79E-01,1.00E+00,8.54E-01,1.00E-01,1.00E+00,2.22E-02,1.00E+00,7.74E-01
"Transient Ischemic Attack, Vertebrobasilar Circulation",1.00E+00,1.00E+00,3.79E-01,1.00E+00,8.54E-01,1.00E-01,1.00E+00,2.22E-02,1.00E+00,7.74E-01
Crescendo Transient Ischemic Attacks,1.00E+00,1.00E+00,3.79E-01,1.00E+00,8.54E-01,1.00E-01,1.00E+00,2.22E-02,1.00E+00,7.74E-01
"Brain Stem Ischemia, Transient",1.00E+00,1.00E+00,3.79E-01,1.00E+00,8.54E-01,1.00E-01,1.00E+00,2.22E-02,1.00E+00,7.74E-01
Transient Cerebral Ischemia,1.00E+00,1.00E+00,3.79E-01,1.00E+00,8.54E-01,1.00E-01,1.00E+00,2.22E-02,1.00E+00,7.74E-01
"Transient Ischemic Attack, Anterior Circulation",1.00E+00,1.00E+00,3.79E-01,1.00E+00,8.54E-01,1.00E-01,1.00E+00,2.22E-02,1.00E+00,7.74E-01
"Mental Retardation, X-Linked 1",1.00E+00,1.00E+00,1.00E+00,5.02E-01,8.54E-01,3.54E-01,1.57E-01,3.30E-01,1.00E+00,1.00E+00
Protein Deficiency,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.69E-01,2.60E-01,4.42E-01,1.00E+00
Neurodevelopmental Disorders,1.00E+00,1.26E-01,9.38E-01,1.00E+00,8.54E-01,1.00E+00,6.93E-02,1.00E+00,1.00E+00,9.67E-01
Microcephaly,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,2.11E-01,6.32E-01
Noonan Syndrome,1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,2.99E-01,1.00E+00,1.84E-01,1.00E+00
FG syndrome,1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,4.61E-01,4.69E-01,1.00E+00,1.00E+00,5.78E-01
FG SYNDROME 4 (disorder),1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,4.61E-01,4.69E-01,1.00E+00,1.00E+00,5.78E-01
FG SYNDROME 3,1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,4.61E-01,4.69E-01,1.00E+00,1.00E+00,5.78E-01
FG SYNDROME 2,1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,4.61E-01,4.69E-01,1.00E+00,1.00E+00,5.78E-01
Alloxan Diabetes,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.26E-01,3.41E-01,7.26E-01,4.64E-01
"Diabetes Mellitus, Experimental",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.26E-01,3.41E-01,7.26E-01,4.64E-01
Streptozotocin Diabetes,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.26E-01,3.41E-01,7.26E-01,4.64E-01
Neoplasm Invasiveness,1.00E+00,1.00E+00,1.00E+00,4.71E-01,1.00E+00,1.00E+00,1.42E-01,1.00E+00,8.19E-01,8.67E-01
Cerebral Hemorrhage,1.00E+00,1.00E+00,1.00E+00,6.24E-01,1.00E+00,1.00E+00,3.91E-02,1.00E+00,6.64E-01,1.00E+00
Amyotrophic Lateral Sclerosis,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.31E-01,3.37E-01,1.00E+00,5.78E-01
Obesity,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.33E-01,1.00E+00,2.55E-01
Adrenal Cortical Adenoma,1.00E+00,1.00E+00,7.18E-01,2.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.42E-01,1.00E+00
Malignant neoplasm of breast,1.00E+00,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,4.18E-01,1.00E+00,1.84E-01,1.00E+00
Ureteral Calculi,1.00E+00,9.04E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,3.30E-01,6.08E-01,1.00E+00
Renal Cell Carcinoma,1.00E+00,1.00E+00,1.00E+00,4.71E-01,7.61E-01,1.00E+00,1.00E+00,1.00E+00,3.17E-01,1.00E+00
Chromophobe Renal Cell Carcinoma,1.00E+00,1.00E+00,1.00E+00,4.71E-01,7.61E-01,1.00E+00,1.00E+00,1.00E+00,3.17E-01,1.00E+00
Sarcomatoid Renal Cell Carcinoma,1.00E+00,1.00E+00,1.00E+00,4.71E-01,7.61E-01,1.00E+00,1.00E+00,1.00E+00,3.17E-01,1.00E+00
Collecting Duct Carcinoma of the Kidney,1.00E+00,1.00E+00,1.00E+00,4.71E-01,7.61E-01,1.00E+00,1.00E+00,1.00E+00,3.17E-01,1.00E+00
Papillary Renal Cell Carcinoma,1.00E+00,1.00E+00,1.00E+00,4.71E-01,7.61E-01,1.00E+00,1.00E+00,1.00E+00,3.17E-01,1.00E+00
Ovarian Serous Adenocarcinoma,1.00E+00,1.26E-01,9.02E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.28E-01,7.56E-01
Amyotrophic Lateral Sclerosis With Dementia,1.00E+00,1.26E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.89E-01,1.00E+00,1.00E+00
Epidermolysis Bullosa,1.00E+00,1.00E+00,1.00E+00,4.12E-01,1.00E+00,1.00E+00,2.08E-01,1.00E+00,1.00E+00,1.00E+00
Osteitis Deformans,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.69E-01,5.65E-02
"Amyotrophic Lateral Sclerosis, Guam Form",1.00E+00,1.26E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.22E-01,1.00E+00,1.00E+00
Megacystis microcolon intestinal hypoperistalsis syndrome,1.00E+00,1.00E+00,9.02E-01,4.71E-01,1.00E+00,1.00E+00,1.00E+00,3.30E-01,1.00E+00,1.00E+00
Membranous glomerulonephritis,1.00E+00,1.00E+00,1.00E+00,6.61E-01,1.00E+00,1.00E+00,4.69E-01,6.45E-01,9.31E-01,1.00E+00
Idiopathic Membranous Glomerulonephritis,1.00E+00,1.00E+00,1.00E+00,6.61E-01,1.00E+00,1.00E+00,4.69E-01,6.45E-01,9.31E-01,1.00E+00
Heymann Nephritis,1.00E+00,1.00E+00,1.00E+00,6.61E-01,1.00E+00,1.00E+00,4.69E-01,6.45E-01,9.31E-01,1.00E+00
Hydrops Fetalis,1.00E+00,1.00E+00,8.80E-01,1.00E+00,7.61E-01,1.00E+00,4.69E-01,1.00E+00,6.08E-01,1.00E+00
Animal Mammary Neoplasms,1.00E+00,1.00E+00,1.00E+00,5.02E-01,1.00E+00,3.28E-01,1.00E+00,1.00E+00,1.00E+00,9.23E-01
"Mammary Carcinoma, Animal",1.00E+00,1.00E+00,1.00E+00,5.02E-01,1.00E+00,3.28E-01,1.00E+00,1.00E+00,1.00E+00,9.23E-01
Maffucci Syndrome,1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,4.69E-01,1.00E+00,1.00E+00,5.78E-01
"Turner Syndrome, Male",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.69E-01,1.00E+00,3.17E-01,1.00E+00
Female Pseudo-Turner Syndrome,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.69E-01,1.00E+00,3.17E-01,1.00E+00
Carcinoma of bladder,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.69E-01,1.00E+00,3.17E-01,1.00E+00
Insulin Resistance,1.00E+00,1.00E+00,2.59E-01,5.61E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Insulin Sensitivity,1.00E+00,1.00E+00,2.59E-01,5.61E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Retinal Detachment,1.00E+00,1.00E+00,1.00E+00,9.35E-01,1.00E+00,1.00E+00,6.77E-01,1.00E+00,2.11E-01,1.00E+00
Retinal Pigment Epithelial Detachment,1.00E+00,1.00E+00,1.00E+00,9.35E-01,1.00E+00,1.00E+00,6.77E-01,1.00E+00,2.11E-01,1.00E+00
Skin Ulcer,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.19E-01,1.00E+00,6.08E-01,1.00E+00
Hyperthyroidism,1.00E+00,1.00E+00,1.00E+00,9.35E-01,1.00E+00,1.00E+00,6.77E-01,2.18E-01,1.00E+00,1.00E+00
Primary Hyperthyroidism,1.00E+00,1.00E+00,1.00E+00,9.35E-01,1.00E+00,1.00E+00,6.77E-01,2.18E-01,1.00E+00,1.00E+00
Malignant neoplasm of brain,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.68E-01,7.57E-01,1.00E+00,8.32E-01,5.78E-01
Scrapie,1.00E+00,1.26E-01,7.18E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Brain Neoplasms,1.00E+00,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,5.27E-01,9.77E-01,7.19E-01,7.47E-01
Intestinal Neoplasms,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,1.59E-01
Intestinal Cancer,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,1.59E-01
"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",1.00E+00,1.00E+00,1.00E+00,6.24E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.69E-01,1.00E+00
Conventional (Clear Cell) Renal Cell Carcinoma,1.00E+00,1.00E+00,1.00E+00,6.83E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.11E-01,1.00E+00
Aortic Diseases,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.51E-01,5.22E-01,1.00E+00,9.23E-01
"Arthritis, Adjuvant-Induced",1.00E+00,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.18E-01,1.00E+00,4.42E-01,1.00E+00
"Arthritis, Collagen-Induced",1.00E+00,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.18E-01,1.00E+00,4.42E-01,1.00E+00
"Arthritis, Experimental",1.00E+00,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.18E-01,1.00E+00,4.42E-01,1.00E+00
Endometrial Hyperplasia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.06E-01,1.00E+00,1.00E+00,1.00E+00,8.61E-01
Complex Endometrial Hyperplasia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.06E-01,1.00E+00,1.00E+00,1.00E+00,8.61E-01
Atypical Endometrial Hyperplasia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.06E-01,1.00E+00,1.00E+00,1.00E+00,8.61E-01
Simple Endometrial Hyperplasia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.06E-01,1.00E+00,1.00E+00,1.00E+00,8.61E-01
Hepatitis,1.00E+00,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,1.00E+00,4.89E-01,9.25E-01,1.00E+00
Parkinsonian Disorders,1.00E+00,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.73E-01,1.00E+00,6.11E-01,8.61E-01
Ramsay Hunt Paralysis Syndrome,1.00E+00,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.73E-01,1.00E+00,6.11E-01,8.61E-01
Autosomal Dominant Juvenile Parkinson Disease,1.00E+00,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.73E-01,1.00E+00,6.11E-01,8.61E-01
Autosomal Dominant Parkinsonism,1.00E+00,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.73E-01,1.00E+00,6.11E-01,8.61E-01
Autosomal Recessive Parkinsonism,1.00E+00,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.73E-01,1.00E+00,6.11E-01,8.61E-01
"Parkinsonism, Experimental",1.00E+00,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.73E-01,1.00E+00,6.11E-01,8.61E-01
Familial Juvenile Parkinsonism,1.00E+00,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.73E-01,1.00E+00,6.11E-01,8.61E-01
"Parkinsonism, Juvenile",1.00E+00,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.73E-01,1.00E+00,6.11E-01,8.61E-01
"PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE",1.00E+00,1.00E+00,1.00E+00,5.61E-01,1.00E+00,1.00E+00,9.73E-01,1.00E+00,6.11E-01,8.61E-01
Nephrosis,1.00E+00,1.00E+00,8.80E-01,1.00E+00,1.00E+00,1.00E+00,2.08E-01,1.00E+00,9.25E-01,1.00E+00
"Anemia, Sickle Cell",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.76E-01,1.00E+00,4.42E-01,1.00E+00
Muscular Dystrophy,1.00E+00,1.00E+00,7.53E-01,2.66E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Cardiomyopathy, Hypertrophic, Familial",1.00E+00,1.00E+00,1.00E+00,3.54E-02,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Carotid Artery Thrombosis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.91E-02,1.00E+00,1.00E+00,1.00E+00
Common Carotid Artery Thrombosis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.91E-02,1.00E+00,1.00E+00,1.00E+00
External Carotid Artery Thrombosis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.91E-02,1.00E+00,1.00E+00,1.00E+00
Internal Carotid Artery Thrombosis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.91E-02,1.00E+00,1.00E+00,1.00E+00
Venous Thromboembolism,1.00E+00,1.00E+00,1.00E+00,8.11E-01,1.00E+00,1.00E+00,2.34E-01,1.00E+00,1.00E+00,1.00E+00
Schizophrenia,1.00E+00,5.00E-02,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Aortic Aneurysm, Thoracic",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.34E-01,8.41E-01,1.00E+00,1.00E+00
Hereditary hemorrhagic telangiectasia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.19E-01,1.00E+00,1.00E+00,8.61E-01
Ovarian clear cell carcinoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.52E-02
"Angioedemas, Hereditary",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.30E-01,1.00E+00,1.00E+00,1.00E+00
Sagittal Sinus Thrombosis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.30E-01,1.00E+00,1.00E+00,1.00E+00
"Septic Phlebitis, Sagittal Sinus",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.30E-01,1.00E+00,1.00E+00,1.00E+00
Sagittal Sinus Thrombophlebitis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.30E-01,1.00E+00,1.00E+00,1.00E+00
DOYNE HONEYCOMB RETINAL DYSTROPHY,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.30E-01,1.00E+00,1.00E+00,1.00E+00
Malattia Leventinese,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.30E-01,1.00E+00,1.00E+00,1.00E+00
"Drusen, Radial, Autosomal Dominant",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.30E-01,1.00E+00,1.00E+00,1.00E+00
Adams Oliver syndrome,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.42E-01,1.00E+00,1.00E+00,1.00E+00
Malignant Neoplasms,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.84E-01,1.00E+00
Neoplasms,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.84E-01,1.00E+00
Benign Neoplasm,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.84E-01,1.00E+00
Blastocyst Disintegration,1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,4.69E-01,1.00E+00,1.00E+00,1.00E+00
Embryo Loss,1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,4.69E-01,1.00E+00,1.00E+00,1.00E+00
Embryo Disintegration,1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,4.69E-01,1.00E+00,1.00E+00,1.00E+00
Anuria,1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,4.69E-01,1.00E+00,1.00E+00,1.00E+00
"Anemia, Hemolytic",1.00E+00,1.00E+00,1.00E+00,4.71E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,1.00E+00
"Anemia, Hemolytic, Acquired",1.00E+00,1.00E+00,1.00E+00,4.71E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,1.00E+00
"Anemia, Microangiopathic",1.00E+00,1.00E+00,1.00E+00,4.71E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,1.00E+00
Microangiopathic hemolytic anemia,1.00E+00,1.00E+00,1.00E+00,4.71E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,1.00E+00
Nephritis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.93E-01,1.00E+00,8.06E-01,1.00E+00,1.00E+00
Hyperglycemia,1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,6.14E-01,1.00E+00,1.00E+00,8.69E-01
"Hyperglycemia, Postprandial",1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,6.14E-01,1.00E+00,1.00E+00,8.69E-01
LEOPARD Syndrome,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.51E-01,1.00E+00,8.28E-01,9.23E-01
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.11E-01,1.00E+00
Benign neoplasm of bladder,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.11E-01,1.00E+00
Carcinoma in situ of bladder,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.11E-01,1.00E+00
Neoplasm of uncertain or unknown behavior of bladder,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.11E-01,1.00E+00
Profound Mental Retardation,1.00E+00,4.67E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.51E-01
"Mental Retardation, Psychosocial",1.00E+00,4.67E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.51E-01
Mental deficiency,1.00E+00,4.67E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.51E-01
Thrombosis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.19E-01,1.00E+00,1.00E+00,1.00E+00
Thrombus,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.19E-01,1.00E+00,1.00E+00,1.00E+00
Congenital defect of skull and scalp,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.19E-01,1.00E+00,1.00E+00,1.00E+00
Pulmonary Embolism,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.20E-01,1.00E+00,1.00E+00,1.00E+00
Pulmonary Thromboembolisms,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.20E-01,1.00E+00,1.00E+00,1.00E+00
Thromboembolism,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.20E-01,1.00E+00,1.00E+00,1.00E+00
"Nemaline Myopathy, Childhood Onset",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.45E-01,1.00E+00,5.78E-01
Necrotizing Enterocolitis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.27E-01,1.00E+00,1.00E+00,1.00E+00
"DEAFNESS, AUTOSOMAL DOMINANT 1 (disorder)",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.19E-01,1.00E+00,1.00E+00,6.08E-01,1.00E+00
Liver Cirrhosis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.34E-01,1.00E+00,1.00E+00,1.00E+00
"Fibrosis, Liver",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.34E-01,1.00E+00,1.00E+00,1.00E+00
Idiopathic Pulmonary Fibrosis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.35E-01,1.00E+00,1.00E+00,1.00E+00
Injury wounds,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.35E-01,1.00E+00,1.00E+00,1.00E+00
Wounds and Injuries,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.35E-01,1.00E+00,1.00E+00,1.00E+00
Traumatic injury,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.35E-01,1.00E+00,1.00E+00,1.00E+00
Research-Related Injuries,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.35E-01,1.00E+00,1.00E+00,1.00E+00
Depressive Syndrome,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.18E-01,1.00E+00,3.17E-01,1.00E+00
Thrombocytopenia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.61E-01,1.00E+00,1.00E+00,1.00E+00
Autosomal Recessive Centronuclear Myopathy,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.22E-01,1.00E+00,7.56E-01
Ovarian Mucinous Adenocarcinoma,1.00E+00,1.00E+00,1.00E+00,4.12E-01,1.00E+00,1.00E+00,8.66E-01,1.00E+00,1.00E+00,1.00E+00
Autosomal dominant macrothrombocytopenia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.51E-01,1.00E+00,8.28E-01,1.00E+00
Costello syndrome (disorder),1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.51E-01,1.00E+00,8.28E-01,1.00E+00
Cardio-facio-cutaneous syndrome,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.51E-01,1.00E+00,8.28E-01,1.00E+00
